NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	cell_type	cell_type__ontology_label	organ_region	organ_region__ontology_label	cell_type__custom
UU_26	UU_D05_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_27	UU_D05_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_28	UU_D05_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_29	UU_D05_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	Molecular layer interneuron 2 (MLI2)
UU_30	UU_D05_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	Unipolar brush cell (UBC)
UU_31	UU_D05_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_32	UU_D05_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_33	UU_D05_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_34	UU_D05_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_35	UU_D05_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_36	UU_D05_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_37	UU_D05_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_38	UU_D05_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_39	UU_D05_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_40	UU_D05_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_41	UU_D05_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_42	UU_D05_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_43	UU_D05_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_44	UU_D05_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_45	UU_D05_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_46	UU_D05_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_47	UU_D05_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_48	UU_D05_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_49	UU_D05_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_50	UU_D05_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_51	UU_D04_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_52	UU_D04_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_53	UU_D04_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_54	UU_D04_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	Molecular layer interneuron 2 (MLI2)
UU_55	UU_D04_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_56	UU_D04_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_57	UU_D04_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	Molecular layer interneuron 2 (MLI2)
UU_58	UU_D04_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_59	UU_D04_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_60	UU_D04_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_61	UU_D04_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_62	UU_D04_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_63	UU_D04_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_64	UU_D04_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_65	UU_D04_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_66	UU_D04_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_67	UU_D04_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_68	UU_D04_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	Molecular layer interneuron 2 (MLI2)
UU_69	UU_D04_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_70	UU_D04_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000714|MBA:000000972	Orbital area|Prelimbic area	
UU_71	UU_D04_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_72	UU_D04_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_73	UU_D04_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_74	UU_D04_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_75	UU_D04_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_76	UU_D04_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_77	UU_D04_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_78	UU_D04_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_79	UU_D04_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Unipolar brush cell (UBC)
UU_80	UU_D04_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D04	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_81	UU_D03_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D03	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_82	UU_D03_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D03	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_83	UU_D03_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D03	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_84	UU_D03_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D03	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_85	UU_D03_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D03	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_86	UU_D03_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D03	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
