NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	cell_type	cell_type__ontology_label	preservation_method	organ_region	organ_region__ontology_label	cell_type__custom
AF_31	AF_D05_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_32	AF_D05_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_33	AF_D05_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Purkinje
AF_34	AF_D05_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Purkinje
AF_35	AF_D05_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Purkinje
AF_36	AF_D05_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Purkinje
AF_37	AF_D05_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_38	AF_D05_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_39	AF_D05_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_40	AF_D05_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_41	AF_D05_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_42	AF_D05_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_43	AF_D05_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_44	AF_D05_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_45	AF_D05_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_46	AF_D05_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_47	AF_D05_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_48	AF_D05_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_49	AF_D05_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_50	AF_D05_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_51	AF_D04_03	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_52	AF_D04_03	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_53	AF_D04_03	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_54	AF_D04_03	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Purkinje
AF_55	AF_D04_03	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_56	AF_D04_03	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_57	AF_D04_03	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Purkinje
AF_58	AF_D04_03	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_59	AF_D04_03	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_60	AF_D04_03	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_61	AF_D04_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Purkinje
AF_62	AF_D04_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_63	AF_D04_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_64	AF_D04_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_65	AF_D04_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_66	AF_D04_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_67	AF_D04_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_68	AF_D04_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Purkinje
AF_69	AF_D04_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_70	AF_D04_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_71	AF_D04_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_72	AF_D04_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_73	AF_D04_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_74	AF_D04_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_75	AF_D04_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_76	AF_D04_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_77	AF_D04_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_78	AF_D04_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_79	AF_D04_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_80	AF_D04_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D04	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_81	AF_D03_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D03	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_82	AF_D03_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D03	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_83	AF_D03_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D03	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_84	AF_D03_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D03	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000985	Primary motor area	Purkinje
AF_85	AF_D03_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D03	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_86	AF_D03_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D03	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000985	Primary motor area	Purkinje
AF_87	AF_D03_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D03	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000985	Primary motor area	Purkinje
AF_88	AF_D03_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D03	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_89	AF_D03_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D03	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_90	AF_D03_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D03	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_91	AF_D02_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_92	AF_D02_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Astrocyte
AF_93	AF_D02_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Astrocyte
AF_94	AF_D02_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
